CustomerID,TotalSpent,Orders,ItemsPurchased,CountriesPurchased,AvgOrderValue,Recency
12347.0,4310.0,7,2458,1,615.7142857142857,1
12348.0,1797.24,4,2341,1,449.31,74
12349.0,1757.55,1,631,1,1757.55,18
12350.0,334.4,1,197,1,334.4,309
12352.0,1240.73,4,380,1,310.1825,35
12353.0,89.0,1,20,1,89.0,203
12354.0,1079.4,1,530,1,1079.4,231
12355.0,459.4,1,240,1,459.4,213
12356.0,2811.43,3,1591,1,937.1433333333333,22
12357.0,6207.67,1,2708,1,6207.67,32
12358.0,1168.06,2,248,1,584.03,1
12359.0,4471.12,3,1144,1,1490.3733333333332,57
12360.0,2662.06,3,1165,1,887.3533333333334,51
12361.0,189.9,1,91,1,189.9,286
12362.0,4727.07,9,2061,1,525.23,2
12363.0,552.0,2,408,1,276.0,109
12364.0,1313.1,4,1506,1,328.275,7
12365.0,320.69,1,173,1,320.69,290
12367.0,168.9,1,173,1,168.9,3
12370.0,3541.94,4,2352,2,885.485,50
12371.0,1887.96,2,591,1,943.98,44
12372.0,1298.04,3,794,1,432.68,71
12373.0,364.6,1,197,1,364.6,310
12374.0,742.9300000000001,1,342,1,742.9300000000001,24
12375.0,457.5,2,178,1,228.75,10
12377.0,1628.12,2,944,1,814.06,314
12378.0,4008.62,1,2529,1,4008.62,129
12379.0,852.24,2,407,1,426.12,81
12380.0,2724.81,4,1127,1,681.2025,21
12381.0,576.57,4,240,1,144.1425,4
12383.0,1850.56,5,1532,1,370.11199999999997,184
12384.0,585.27,2,126,1,292.635,28
12386.0,401.9,2,354,1,200.95,337
12388.0,2780.66,6,1462,1,463.4433333333333,15
12390.0,549.84,1,353,1,549.84,79
12391.0,439.66,1,293,1,439.66,21
12393.0,1582.6000000000001,4,816,1,395.65000000000003,71
12394.0,1272.48,2,819,2,636.24,63
12395.0,2787.12,11,1856,1,253.37454545454545,18
12397.0,2409.9,2,1263,1,1204.95,35
12398.0,1635.6599999999999,1,1394,1,1635.6599999999999,45
12399.0,1108.65,4,1178,1,277.1625,118
12401.0,84.3,1,11,1,84.3,302
12402.0,225.6,1,94,1,225.6,322
12403.0,427.7,1,96,1,427.7,49
12405.0,1710.39,1,857,1,1710.39,148
12406.0,1794.05,1,1025,1,1794.05,21
12407.0,1708.1200000000001,5,1416,1,341.624,49
12408.0,2888.55,5,1409,1,577.71,32
12409.0,11067.72,2,5550,1,5533.86,78
12410.0,693.3299999999999,2,211,1,346.66499999999996,308
12412.0,1226.88,3,829,1,408.96000000000004,74
12413.0,278.85,2,106,1,139.425,66
12414.0,562.41,3,300,1,187.47,216
12415.0,76927.72,17,48429,1,4525.16,23
12417.0,3186.25,8,1404,2,398.28125,2
12418.0,668.58,1,407,1,668.58,112
12420.0,600.39,1,345,1,600.39,63
12421.0,807.04,4,484,1,201.76,15
12422.0,803.5600000000001,3,370,2,267.85333333333335,95
12423.0,1660.33,7,1190,1,237.19,0
12424.0,1760.96,2,740,1,880.48,162
12425.0,777.2,1,496,1,777.2,77
12426.0,582.73,1,258,1,582.73,194
12427.0,586.08,2,193,1,293.04,59
12428.0,7956.46,9,3536,1,884.0511111111111,25
12429.0,3750.4,4,1557,2,937.6,8
12430.0,256.4,1,117,1,256.4,42
12431.0,4967.24,12,2267,2,413.93666666666667,35
12432.0,5059.32,5,1801,1,1011.8639999999999,42
12433.0,13375.87,7,11071,1,1910.8385714285716,0
12434.0,519.89,1,317,1,519.89,84
12435.0,7829.89,2,2055,1,3914.945,79
12436.0,509.01,1,211,1,509.01,99
12437.0,4214.86,17,2355,1,247.93294117647056,1
12438.0,2906.85,2,1180,1,1453.425,13
12441.0,173.55,1,121,1,173.55,366
12442.0,172.06,1,182,1,172.06,2
12444.0,5005.46,5,1153,1,1001.092,20
12445.0,133.4,1,62,1,133.4,21
12446.0,1002.3100000000001,1,351,1,1002.3100000000001,57
12447.0,476.49,1,190,1,476.49,242
12448.0,449.45,1,243,1,449.45,43
12449.0,4067.29,4,1553,1,1016.8225,21
12450.0,197.88,2,128,1,98.94,155
12451.0,6116.01,4,4241,1,1529.0025,10
12452.0,80.0,1,2,1,80.0,16
12453.0,707.09,1,473,1,707.09,133
12455.0,2466.86,6,2089,2,411.1433333333334,72
12456.0,3181.04,3,1633,1,1060.3466666666666,43
12457.0,1572.53,3,576,1,524.1766666666666,84
12458.0,947.4,2,506,1,473.7,70
12461.0,826.88,2,287,1,413.44,93
12462.0,1189.59,2,536,1,594.795,18
12463.0,985.79,3,577,1,328.59666666666664,174
12464.0,1212.05,8,112,1,151.50625,9
12465.0,742.1899999999999,2,479,1,371.09499999999997,16
12468.0,729.5400000000001,2,366,1,364.77000000000004,187
12471.0,11764.86,20,4341,1,588.243,1
12472.0,3867.99,4,2400,1,966.9975,31
12473.0,514.06,1,321,1,514.06,114
12474.0,2050.39,8,1431,1,256.29875,16
12475.0,723.38,1,535,1,723.38,53
12476.0,2895.27,7,883,1,413.61,24
12477.0,10122.81,4,2834,1,2530.7025,55
12478.0,680.99,1,236,1,680.99,3
12480.0,3281.63,4,1707,1,820.4075,27
12481.0,5579.82,10,3294,1,557.982,22
12483.0,1583.68,4,764,1,395.92,16
12484.0,4527.32,6,2187,1,754.5533333333333,32
12488.0,1298.66,3,529,1,432.8866666666667,9
12489.0,334.93,1,105,1,334.93,335
12490.0,5417.93,10,3064,1,541.793,4
12491.0,460.40000000000003,1,260,1,460.40000000000003,38
12492.0,263.21000000000004,2,192,1,131.60500000000002,62
12493.0,201.24,1,119,1,201.24,165
12494.0,250.0,1,116,1,250.0,295
12497.0,1043.1,1,1236,1,1043.1,81
12498.0,403.70000000000005,3,159,1,134.5666666666667,20
12500.0,1285.29,3,275,1,428.43,49
12502.0,3723.87,5,820,1,744.774,95
12506.0,73.5,1,23,1,73.5,232
12507.0,1258.06,2,883,1,629.03,133
12508.0,397.88,2,271,1,198.94,25
12509.0,176.5,1,55,1,176.5,283
12510.0,982.5699999999999,2,353,1,491.28499999999997,142
12512.0,132.18,2,96,1,66.09,65
12514.0,1017.68,1,440,1,1017.68,266
12515.0,383.7,1,131,1,383.7,352
12516.0,1312.06,2,875,1,656.03,77
12517.0,2064.4,4,1151,1,516.1,27
12518.0,2056.89,5,1318,1,411.378,0
12519.0,330.84,1,175,1,330.84,63
12520.0,1400.3,3,693,1,466.76666666666665,78
12521.0,599.68,1,309,1,599.68,142
12522.0,192.72,2,194,1,96.36,38
12523.0,1299.13,9,652,1,144.3477777777778,63
12524.0,4485.72,8,3699,1,560.715,8
12526.0,1316.66,3,632,1,438.8866666666667,0
12527.0,348.71000000000004,3,234,1,116.23666666666668,81
12528.0,1933.48,6,756,1,322.24666666666667,8
12530.0,805.0,2,327,1,402.5,233
12531.0,125.22,1,45,1,125.22,14
12532.0,349.83000000000004,1,153,1,349.83000000000004,29
12534.0,1089.18,1,651,1,1089.18,130
12535.0,716.35,2,219,1,358.175,91
12536.0,8322.12,2,2,1,4161.06,42
12538.0,363.95,1,191,1,363.95,28
12539.0,5568.35,4,2067,1,1392.0875,21
12540.0,12582.26,15,6269,1,838.8173333333333,19
12541.0,981.18,3,680,1,327.06,29
12544.0,372.7,1,136,1,372.7,35
12545.0,1000.39,2,523,1,500.195,74
12546.0,401.3,1,158,1,401.3,46
12547.0,207.79999999999998,2,134,1,103.89999999999999,197
12548.0,95.19999999999999,1,49,1,95.19999999999999,165
12550.0,964.83,1,569,1,964.83,78
12551.0,168.0,1,100,1,168.0,357
